Metric Number of queries...,Metric - Dispersion,Metric - Discovery Recall,Metric - Discovery Precision,Metric - Relevant New Information,Metric - Increase in View Area,Metric - Query frequency,Metric - Elapsed time,Metric - Query Contribution,
52.0,0.0,0.9655172413793104,0.028747433264887063,0.11336901944858685,0.0012660593489102698,145.65826330532212,0.357,-4.838467098714657,
52.0,0.0,0.7428571428571429,0.02066772655007949,0.11959496065280978,0.005848247918228118,134.36692506459949,0.387,-4.81538368944424,
52.0,0.0,0.896551724137931,0.016159105034182723,0.10647688629826363,0.08654468220474153,67.53246753246754,0.77,-5.9175374968881815,
12.0,0.0,0.02857142857142857,7.892659826361484E-4,0.08251672740312711,0.023730723862966995,144.57831325301203,0.083,-12.01126756903129,
12.0,0.0,0.0,0.0,0.10189328789794123,3.5355678121906376E-4,162.16216216216216,0.074,-2.0217346886668532,
12.0,0.0,0.02857142857142857,7.84313725490196E-4,0.08116229131489193,0.0,148.14814814814815,0.081,-12.252912766469578,
12.0,0.0,0.0,0.0,0.09282790634723108,0.004142693955549536,130.43478260869566,0.092,-2.5275169619366364,
14.0,0.0,0.05714285714285714,0.0017513134851138354,0.09220195318916434,0.01401545073620652,109.375,0.128,-9.382517743468451,
12.0,0.0,0.37142857142857144,0.02218430034129693,0.21485260206126575,0.006708481733911313,82.75862068965517,0.145,-5.736224165884252,
12.0,0.0,0.0,0.0,0.12517133538330716,0.024014548065948566,86.33093525179855,0.139,-18.750787004143458,



24.2,0.0,0.30906403940886695,0.009108345838368637,0.11300669699965886,0.016662444460768193,121.13456180158607,0.22560000000000002,-7.82543491846476,
