Metric Number of queries...,Metric - Click Depth,Metric - Discovery Recall,Metric - Discovery Precision,Metric - Relevant New Information,Metric - Increase in View Area,Metric - Query frequency,Metric - Elapsed time,
12.0,0.0,0.012658227848101266,0.023529411764705882,0.10479847380342533,0.011998436056857215,109.0909090909091,0.11,
12.0,0.0,0.018518518518518517,0.02702702702702703,0.06366217237734241,0.004539561059410872,117.64705882352942,0.102,
12.0,0.0,0.03773584905660377,0.0392156862745098,0.12714403465743163,0.0032559996819144766,113.20754716981132,0.106,
68.0,0.0,0.18354430379746836,0.0441400304414003,0.17068169149695261,0.0016416382006317304,147.82608695652172,0.46,
12.0,0.0,0.047619047619047616,0.03389830508474576,0.16846318412732833,7.067178988761471E-4,103.44827586206895,0.116,
12.0,0.0,0.023809523809523808,0.015873015873015872,0.10969145481071045,0.0013382964865040683,72.72727272727272,0.165,
14.0,0.0,0.037037037037037035,0.003745318352059925,0.16545666964892716,0.2674537006257848,97.22222222222223,0.144,
12.0,0.0,0.14893617021276595,0.029288702928870293,0.14393954941322154,0.02307464438484132,155.84415584415584,0.077,
12.0,0.0,0.018867924528301886,0.011764705882352941,0.11186045070701918,0.006196835626705027,90.22556390977444,0.133,
12.0,0.0,0.018867924528301886,0.012345679012345678,0.1014739424316029,0.00251833206573858,107.14285714285714,0.112,



17.8,0.0,0.054759452695567014,0.02408278826410335,0.12671716234739613,0.03227241620872642,111.43819497491229,0.1525,
