Metric Number of queries...,Metric - Dispersion,Metric - Discovery Recall,Metric - Discovery Precision,Metric - Relevant New Information,Metric - Increase in View Area,Metric - Query frequency,Metric - Elapsed time,Metric - Query Contribution,
12.0,0.0,0.023809523809523808,0.0021598272138228943,0.07544141402012584,0.033546260920708074,80.0,0.15,-4.4818455810868905,
12.0,0.0,0.019230769230769232,8.19000819000819E-4,0.07085371181383202,0.026552297089651292,71.8562874251497,0.167,-11.50765453910388,
12.0,0.0,0.02127659574468085,0.003236245954692557,0.09231808309307336,0.03180362561485228,116.50485436893204,0.103,-3.186423308497488,
12.0,0.0,0.0425531914893617,0.02702702702702703,0.16934287544439053,0.004520730663368853,139.53488372093025,0.086,-0.9315997807046482,
12.0,0.0,0.34146341463414637,0.01023391812865497,0.07237181698902805,0.05028114630447164,103.44827586206895,0.116,-12.65423447764435,
12.0,0.0,0.019230769230769232,0.022727272727272728,0.12556300740535398,0.0038419482620859224,108.10810810810811,0.111,-0.8702877737762434,
12.0,0.0,0.047619047619047616,0.0273972602739726,0.17019739793935615,7.903024878247767E-4,146.34146341463415,0.082,-0.9961944667702984,
14.0,0.0,0.06382978723404255,0.014285714285714285,0.11074525063294842,0.03328919317500869,138.6138613861386,0.101,-1.913926760651288,
52.0,0.0,0.6904761904761905,0.09897610921501707,0.1305275268865448,0.08897852847220118,127.76412776412778,0.407,-2.518071646198047,
12.0,0.0,0.023809523809523808,0.009900990099009901,0.10581994265557289,5.753543485207731E-4,160.0,0.075,-1.2651837513700495,



16.2,0.0,0.12932988132780557,0.021676336574418486,0.1123181026880226,0.02741793873386935,119.21718620500897,0.13979999999999998,-4.032542208580318,
