Metric Number of queries...,Metric - Click Depth,Metric - Discovery Recall,Metric - Discovery Precision,Metric - Relevant New Information,Metric - Increase in View Area,Metric - Query frequency,Metric - Elapsed time,
12.0,0.0,0.018518518518518517,0.003194888178913738,0.0953481074535057,0.0076427323148390005,150.0,0.08,
16.0,0.0,0.05555555555555555,0.002325581395348837,0.12743940929097808,0.17888210575869667,79.60199004975124,0.201,
12.0,0.0,0.19047619047619047,0.01805869074492099,0.1247845439057605,0.011114942599088157,136.36363636363637,0.088,
12.0,0.0,0.16666666666666666,0.034482758620689655,0.15057711681195807,0.011858099542129283,139.53488372093025,0.086,
12.0,0.0,0.018518518518518517,0.003745318352059925,0.09458210911901044,0.010751669257539509,110.09174311926606,0.109,
12.0,0.0,0.023809523809523808,0.022222222222222223,0.11630434514210475,0.0016713579967076323,113.20754716981132,0.106,
14.0,0.07142857142857142,0.07142857142857142,0.0034965034965034965,0.16097549075760798,4.62595984892054E-4,112.90322580645162,0.124,
12.0,0.0,0.19047619047619047,0.034934497816593885,0.15784584774392046,0.0050739169845936145,137.93103448275863,0.087,
12.0,0.0,0.037037037037037035,0.010526315789473684,0.14481291737303,2.8001792114695344E-5,136.36363636363637,0.088,
12.0,0.0,0.018518518518518517,0.002544529262086514,0.08499968878192465,0.018521016344353967,87.5912408759124,0.137,



12.6,0.007142857142857143,0.07910052910052909,0.013553130587881296,0.12576695763798004,0.024600643857495462,120.35889379521544,0.11059999999999999,
