Metric Number of queries...,Metric - Dispersion,Metric - Discovery Recall,Metric - Discovery Precision,Metric - Relevant New Information,Metric - Increase in View Area,Metric - Query frequency,Metric - Elapsed time,Metric - Query Contribution,
20.0,0.0,0.11904761904761904,0.04854368932038835,0.1627952402483512,0.0012424742867802468,127.38853503184713,0.157,-1.4226373475653564,
12.0,0.0,0.029850746268656716,0.0018034265103697023,0.14662981562111446,0.03476181986200558,127.65957446808511,0.094,-10.725040625988013,
12.0,0.0,0.0,0.0,0.15167778352854733,0.0014270597444621773,106.19469026548673,0.113,-0.8458107462991991,
12.0,0.0,0.023809523809523808,0.017543859649122806,0.11837614074420705,0.0023567753575057322,150.0,0.08,-1.1801983890601655,
12.0,0.0,0.023809523809523808,0.015384615384615385,0.11195105727209116,1.41723388801752E-4,134.8314606741573,0.089,-1.4212193008517684,
12.0,0.0,0.41379310344827586,0.1188118811881188,0.10925347600906281,0.004464607257276941,144.57831325301203,0.083,-1.3391496013726851,
18.0,0.0,0.2619047619047619,0.007407407407407408,0.11685385647007153,0.24361996421871812,107.78443113772454,0.167,-9.356405521056848,
12.0,0.0,0.014084507042253521,0.012987012987012988,0.11465102883211953,0.004192424876944556,118.8118811881188,0.101,-1.143617713965782,
12.0,0.0,0.2413793103448276,0.09333333333333334,0.11664442142917068,0.0022669952357910195,142.85714285714286,0.084,-1.2137151518663827,
12.0,0.0,0.014084507042253521,0.015384615384615385,0.11130466593634476,2.022654694410771E-4,126.3157894736842,0.095,-1.296969923435715,



13.4,0.0,0.11417636027176958,0.03311998411649842,0.12601374860910805,0.029467610969772722,128.64218183492588,0.10629999999999999,-2.9944764321461914,
