Metric Number of queries...,Metric - Dispersion,Metric - Discovery Recall,Metric - Discovery Precision,Metric - Relevant New Information,Metric - Increase in View Area,Metric - Query frequency,Metric - Elapsed time,Metric - Query Contribution,
14.0,0.0,0.05714285714285714,0.02564102564102564,0.12319818909289151,6.130217012399956E-4,122.80701754385964,0.114,-1.3056022175139212,
52.0,0.0,0.7428571428571429,0.046511627906976744,0.13690424113754734,0.09563021864780022,113.53711790393012,0.458,-3.436101451911305,
12.0,0.0,0.05714285714285714,0.04081632653061224,0.1722475592961363,0.005489054194160907,148.14814814814815,0.081,-1.2333120138559537,
12.0,0.0,0.014084507042253521,0.011235955056179775,0.11037709329979632,0.00888225560096937,126.3157894736842,0.095,-1.2114299159149222,
12.0,0.0,0.014084507042253521,9.132420091324201E-4,0.14974916019752527,0.060979574127844716,125.0,0.096,-10.427613425284017,
12.0,0.0,0.04878048780487805,0.004301075268817204,0.15556751844449335,0.015756337938867902,117.64705882352942,0.102,-4.691282976637765,
12.0,0.0,0.0,0.0,0.11629065423532536,1.9964073966691277E-4,162.16216216216216,0.074,-1.4172418257963801,
12.0,0.0,0.02857142857142857,0.011494252873563218,0.10273568147078342,0.0020848244051666367,98.36065573770492,0.122,-1.5576660411782273,
12.0,0.0,0.0,0.0,0.22921561329821838,0.005856711078225857,136.36363636363637,0.088,-1.1950439138635236,
12.0,0.0,0.014084507042253521,0.003367003367003367,0.08908060094509133,0.007374792271492191,116.50485436893204,0.103,-3.0912454057748615,



16.2,0.0,0.09767482946459244,0.014428050865331063,0.13853663114178086,0.02028664307054347,126.6846440525587,0.1333,-2.956653918773088,
