Metric Number of queries...,Metric - Click Depth,Metric - Discovery Recall,Metric - Discovery Precision,Metric - Relevant New Information,Metric - Increase in View Area,Metric - Query frequency,Metric - Elapsed time,
12.0,0.0,0.018867924528301886,7.880220646178094E-4,0.07819881255460369,0.021201977699837796,146.34146341463415,0.082,
12.0,0.0,0.0,0.0,0.1769351346808079,0.0018744902231596274,148.14814814814815,0.081,
12.0,0.0,0.02857142857142857,0.0010070493454179255,0.12779898313542523,0.015186138950754763,99.17355371900827,0.121,
12.0,0.0,0.024390243902439025,0.013513513513513514,0.10812541047849618,6.208101507308746E-4,130.43478260869566,0.092,
12.0,0.0,0.02857142857142857,0.005847953216374269,0.10559208429212856,0.006062722452972224,129.03225806451613,0.093,
14.0,0.0,0.04878048780487805,0.005037783375314861,0.09519937726233667,0.008698432694593583,118.64406779661017,0.118,
12.0,0.0,0.2413793103448276,0.08235294117647059,0.11233196760510618,0.002231809317572979,74.07407407407408,0.162,
12.0,0.0,0.5862068965517241,0.265625,0.1181780621684612,3.96235760277365E-4,155.84415584415584,0.077,
52.0,0.0,0.5471698113207547,0.016164994425863992,0.10120315214133548,0.07800460638883207,117.6470588235294,0.442,
12.0,0.0,0.024390243902439025,8.488964346349745E-4,0.06904289316435629,0.028369769391445056,136.36363636363637,0.088,



16.2,0.0,0.15483277754982216,0.0391186153552208,0.10926058774830574,0.016264699303017632,125.57031988570084,0.1356,
